Award ID,Name,PI,comma_loc,Name_fm,Name_l,Name_fml
GRT00000002,"Watters, George Thomas",1,8,George Thomas,Watters,george thomas watters
GRT00000039,"DiMauro, Louis Franklin",1,8,Louis Franklin,DiMauro,louis franklin dimauro
GRT00001108,"Bloomfield, Clara Derber",1,11,Clara Derber,Bloomfield,clara derber bloomfield
GRT00002933,"Slivka Jr, Andrew Paul",1,10,Andrew Paul,Slivka Jr,andrew paul slivka jr
GRT00003163,"Bloomfield, Clara Derber",1,11,Clara Derber,Bloomfield,clara derber bloomfield
GRT00003361,"Sommerich, Carolyn Marie",1,10,Carolyn Marie,Sommerich,carolyn marie sommerich
GRT00003423,"Haas, Garrie Joseph",1,5,Garrie Joseph,Haas,garrie joseph haas
GRT00003890,"Scharre, Douglas William",1,8,Douglas William,Scharre,douglas william scharre
GRT00004781,"Diaz, Philip Tomas",1,5,Philip Tomas,Diaz,philip tomas diaz
GRT00004967,"Davidorf, Frederick H",1,9,Frederick H,Davidorf,frederick h davidorf
GRT00005074,"Adeli, Amir Kevin",1,6,Amir Kevin,Adeli,amir kevin adeli
GRT00005289,"DiMauro, Louis Franklin",1,8,Louis Franklin,DiMauro,louis franklin dimauro
GRT00005443,"Kraut, Eric Harvey",1,6,Eric Harvey,Kraut,eric harvey kraut
GRT00005504,"Agnese, Doreen Marie",1,7,Doreen Marie,Agnese,doreen marie agnese
GRT00005683,"Haas, Garrie Joseph",1,5,Garrie Joseph,Haas,garrie joseph haas
GRT00005881,"Paskett, Electra Diane",1,8,Electra Diane,Paskett,electra diane paskett
GRT00006030,"Dick, Richard Peter",1,5,Richard Peter,Dick,richard peter dick
GRT00006064,"Volakis, John Leonidas",1,8,John Leonidas,Volakis,john leonidas volakis
GRT00006634,"Altan, Taylan",1,6,Taylan,Altan,taylan altan
GRT00006842,"Sai-Sudhakar, Chittoor Bhaskar",1,13,Chittoor Bhaskar,Sai-Sudhakar,chittoor bhaskar saisudhakar
GRT00007110,"Whitson, Bryan Alan",1,8,Bryan Alan,Whitson,bryan alan whitson
GRT00007370,"Shneker, Bassel F",1,8,Bassel F,Shneker,bassel f shneker
GRT00007526,"Hackshaw, Kevin Victor",1,9,Kevin Victor,Hackshaw,kevin victor hackshaw
GRT00007762,"Wu, Yiying",1,3,Yiying,Wu,yiying wu
GRT00007815,"Trivedi, Nandini",1,8,Nandini,Trivedi,nandini trivedi
GRT00007830,"Ozkan, Umit S",1,6,Umit S,Ozkan,umit s ozkan
GRT00008064,"Singh, Rajendra",1,6,Rajendra,Singh,rajendra singh
GRT00008077,"Andritsos, Leslie A",1,10,Leslie A,Andritsos,leslie a andritsos
GRT00008078,"Starr, Jean Ellen",1,6,Jean Ellen,Starr,jean ellen starr
GRT00008460,"Sood, Namita",1,5,Namita,Sood,namita sood
GRT00008522,"Muscarella II, Peter",1,14,Peter,Muscarella II,peter muscarella ii
GRT00008619,"Vaccaro, Patrick Samuel",1,8,Patrick Samuel,Vaccaro,patrick samuel vaccaro
GRT00008801,"Toth, Charles",1,5,Charles,Toth,charles toth
GRT00009011,"Hackshaw, Kevin Victor",1,9,Kevin Victor,Hackshaw,kevin victor hackshaw
GRT00009186,"Sood, Namita",1,5,Namita,Sood,namita sood
GRT00009704,"Moritz, Matthijs",1,7,Matthijs,Moritz,matthijs moritz
GRT00009999,"Tabita, Fred Robert",1,7,Fred Robert,Tabita,fred robert tabita
GRT00010016,"Moore, James Layne",1,6,James Layne,Moore,james layne moore
GRT00010154,"Bartholomew, Deborah A",1,12,Deborah A,Bartholomew,deborah a bartholomew
GRT00010182,"Shah, Manisha H",1,5,Manisha H,Shah,manisha h shah
GRT00010633,"Lemberger, Thomas Richard",1,10,Thomas Richard,Lemberger,thomas richard lemberger
GRT00010742,"Rhoads, Robert Ben",1,7,Robert Ben,Rhoads,robert ben rhoads
GRT00010743,"Hasan, Ayesha Khalid",1,6,Ayesha Khalid,Hasan,ayesha khalid hasan
GRT00010748,"Starr, Jean Ellen",1,6,Jean Ellen,Starr,jean ellen starr
GRT00010903,"Mills, Michael John",1,6,Michael John,Mills,michael john mills
GRT00011022,"Alexandrov, Boian Todorov",1,11,Boian Todorov,Alexandrov,boian todorov alexandrov
GRT00011196,"Otterson, Gregory A",1,9,Gregory A,Otterson,gregory a otterson
GRT00011200,"Magorien, Raymond Daniel",1,9,Raymond Daniel,Magorien,raymond daniel magorien
GRT00011425,"Mazzaferri Jr, Ernest L",1,14,Ernest L,Mazzaferri Jr,ernest l mazzaferri jr
GRT00011562,"Rhoads, Robert Ben",1,7,Robert Ben,Rhoads,robert ben rhoads
GRT00012321,"Andritsos, Leslie A",1,10,Leslie A,Andritsos,leslie a andritsos
GRT00012432,"Allen Jr, James Norman",1,9,James Norman,Allen Jr,james norman allen jr
GRT00012500,"Layman, Rachel M",1,7,Rachel M,Layman,rachel m layman
GRT00012641,"Whitson, Bryan Alan",1,8,Bryan Alan,Whitson,bryan alan whitson
GRT00013150,"Mrozek, Ewa",1,7,Ewa,Mrozek,ewa mrozek
GRT00013328,"Clelland, Nancy Lynne",1,9,Nancy Lynne,Clelland,nancy lynne clelland
GRT00013363,"Rizzoni, Giorgio",1,8,Giorgio,Rizzoni,giorgio rizzoni
GRT00013376,"Agrawal, Punit",1,8,Punit,Agrawal,punit agrawal
GRT00013429,"Gupta, Inder Jeet",1,6,Inder Jeet,Gupta,inder jeet gupta
GRT00013441,"Para, Michael Francis",1,5,Michael Francis,Para,michael francis para
GRT00013452,"Mrozek, Ewa",1,7,Ewa,Mrozek,ewa mrozek
