Award ID,Name,PI,comma_loc,Name_fm,Name_l,Name_fml
GRT00018311,"Miller, Sally Ann",1,7,Sally Ann,Miller,sally ann miller
GRT00020374,"Howat, Ian M",1,6,Ian M,Howat,ian m howat
GRT00021036,"Bromwich, David Howard",1,9,David Howard,Bromwich,david howard bromwich
GRT00021131,"Sharp, Jeff S",1,6,Jeff S,Sharp,jeff s sharp
GRT00021220,"Lekies, Kristi S",1,7,Kristi S,Lekies,kristi s lekies
GRT00022353,"Sun, Qinghua",1,4,Qinghua,Sun,qinghua sun
GRT00023016,"Miller, Sally Ann",1,7,Sally Ann,Miller,sally ann miller
GRT00024387,"Bromwich, David Howard",1,9,David Howard,Bromwich,david howard bromwich
GRT00024400,"Lyons, William Berry",1,6,William Berry,Lyons,william berry lyons
GRT00024663,"Grunow, Anne Marie",1,7,Anne Marie,Grunow,anne marie grunow
GRT00024687,"Ludsin, Stuart A",1,7,Stuart A,Ludsin,stuart a ludsin
GRT00025616,"Durand, Michael Thomas",1,7,Michael Thomas,Durand,michael thomas durand
GRT00027890,"Howat, Ian M",1,6,Ian M,Howat,ian m howat
GRT00028001,"Lanno, Roman P.",1,6,Roman P.,Lanno,roman p. lanno
GRT00028266,"Durand, Michael Thomas",1,7,Michael Thomas,Durand,michael thomas durand
GRT00028642,"Durand, Michael Thomas",1,7,Michael Thomas,Durand,michael thomas durand
GRT00029289,"Johnson, Joel Tidmore",1,8,Joel Tidmore,Johnson,joel tidmore johnson
GRT00029760,"Allen, Heather C",1,6,Heather C,Allen,heather c allen
GRT00029894,"Sohngen, Brent Laboiteaux",1,8,Brent Laboiteaux,Sohngen,brent laboiteaux sohngen
GRT00030129,"Mark, Bryan Greenwood",1,5,Bryan Greenwood,Mark,bryan greenwood mark
GRT00030153,"Johnson, Joel Tidmore",1,8,Joel Tidmore,Johnson,joel tidmore johnson
GRT00030181,"Johnson, Joel Tidmore",1,8,Joel Tidmore,Johnson,joel tidmore johnson
GRT00030749,"Durand, Michael Thomas",1,7,Michael Thomas,Durand,michael thomas durand
GRT00030785,"Johnson, Joel Tidmore",1,8,Joel Tidmore,Johnson,joel tidmore johnson
GRT00030984,"Howat, Ian M",1,6,Ian M,Howat,ian m howat
GRT00031381,"Miller, Sally Ann",1,7,Sally Ann,Miller,sally ann miller
GRT00031531,"Lyons, William Berry",1,6,William Berry,Lyons,william berry lyons
