Name,Name_fm,Name_fml,Award_AuthID,Last Name,Sal_ID
"Aarnes, Turi Kenna",turi kenna,turi kenna aarnes,1,aarnes,5337
"Abate, Michelle Ann",michelle ann,michelle ann abate,2,abate,17906
"Abdel-Misih, Sherif R.",sherif r,sherif r abdelmisih,3,abdelmisih,
"Abdel-Rahman, Mohamed H",mohamed h,mohamed h abdelrahman,4,abdelrahman,566
"Abdel-Rasoul, Mahmoud H",mahmoud h,mahmoud h abdelrasoul,5,abdelrasoul,1433
"Abdelmalak, Mary Joseph",mary joseph,mary joseph abdelmalak,6,abdelmalak,
"Abdul-Aziz, Amina",amina,amina abdulaziz,7,abdulaziz,
"Abraham, William Tober",william tober,william tober abraham,8,abraham,1813
"Abrams, Lisa Marie",lisa marie,lisa marie abrams,9,abrams,35416
"Abruzzo, Lynne V.",lynne v,lynne v abruzzo,10,abruzzo,18069
"Abushahin, Laith",laith,laith abushahin,11,abushahin,26048
"Accornero, Federica",federica,federica accornero,12,accornero,21170
"Ackerman, William Edward",william edward,william edward ackerman,13,ackerman,
"Adamovich, Igor Vladimirovic",igor vladimirovic,igor vladimirovic adamovich,14,adamovich,36770
"Adams, Ingrid K",ingrid k,ingrid k adams,15,adams,35950
"Adeli, Amir Kevin",amir kevin,amir kevin adeli,16,adeli,9912
"Adeli, Anahita",anahita,anahita adeli,17,adeli,
"Adetona, Olorunfemi T",olorunfemi t,olorunfemi t adetona,18,adetona,21020
"Adin, Christopher Andrew",christopher andrew,christopher andrew adin,19,adin,5889
"Adkins, Eric James",eric james,eric james adkins,20,adkins,6279
"Adunka, Oliver",oliver,oliver adunka,21,adunka,19926
"Afzal, Muhammad Rizwan",muhammad rizwan,muhammad rizwan afzal,22,afzal,21988
"Afzali, Anita",anita,anita afzali,23,afzali,24053
"Agarwal, Anant K",anant k,anant k agarwal,24,agarwal,23914
"Agarwal, Anil Kumar",anil kumar,anil kumar agarwal,25,agarwal,
"Agarwal, Gunjan",gunjan,gunjan agarwal,26,agarwal,2551
"Agnese, Doreen Marie",doreen marie,doreen marie agnese,27,agnese,961
"Agnew, Amanda Marie",amanda marie,amanda marie agnew,28,agnew,5022
"Agostini, Pierre",pierre,pierre agostini,29,agostini,
"Agrawal, Gagan",gagan,gagan agrawal,30,agrawal,
"Agrawal, Punit",punit,punit agrawal,31,agrawal,
"Agunga, Robert A",robert a,robert a agunga,32,agunga,35920
"Ahirwar, Dinesh Kumar",dinesh kumar,dinesh kumar ahirwar,33,ahirwar,15149
"Ahmad, Rizwan",rizwan,rizwan ahmad,34,ahmad,1215
"Ahmed, Qadeer",qadeer,qadeer ahmed,35,ahmed,16002
"Ahmer, Brian M",brian m,brian m ahmer,36,ahmer,40199
"Ahn, Daniel H",daniel h,daniel h ahn,37,ahn,
"Ainslie, Kristy Marie",kristy marie,kristy marie ainslie,38,ainslie,
"Ajam, Ali",ali,ali ajam,39,ajam,17873
"Ajam, Amna Ali",amna ali,amna ali ajam,40,ajam,10909
"Akagi, Keiko",keiko,keiko akagi,41,akagi,
"Akar, Gulsah",gulsah,gulsah akar,42,akar,12334
"Akbar, Sheikh Ali",sheikh ali,sheikh ali akbar,43,akbar,35716
"Aksun Guvenc, Bilin",bilin,bilin aksun guvenc,44,aksun guvenc,10824
"Alber, Birgit",birgit,birgit alber,45,alber,5924
"Aldemir, Tunc",tunc,tunc aldemir,46,aldemir,34757
"Alder, Hansjuerg",hansjuerg,hansjuerg alder,47,alder,
"Alevriadou, Barbara Rita",barbara rita,barbara rita alevriadou,48,alevriadou,
"Alexandrov, Boian Todorov",boian todorov,boian todorov alexandrov,49,alexandrov,2697
"Alfonzo, Juan De Dios",juan de dios,juan de dios alfonzo,50,alfonzo,1778
"Ali, Naeem Akhtar",naeem akhtar,naeem akhtar ali,51,ali,38456
"Alinari, Lapo",lapo,lapo alinari,52,alinari,4931
"Allen Jr, James Norman",james norman,james norman allen jr,53,allen jr,34192
"Allen, Chadwick",chadwick,chadwick allen,54,allen,
"Allen, Heather C",heather c,heather c allen,55,allen,150
"Allen, Matthew James",matthew james,matthew james allen,56,allen,
"Allen, Theodore Tetreault",theodore tetreault,theodore tetreault allen,57,allen,38620
"Allenby, Greg Martin",greg martin,greg martin allenby,58,allenby,35801
"Allison, Patrick Scott",patrick scott,patrick scott allison,59,allison,3106
"Almaani, Salem Jihad salem",salem jihad salem,salem jihad salem almaani,60,almaani,18008
"Alonso, Ana Paula",ana paula,ana paula alonso,61,alonso,
"Alsdorf, Douglas E.",douglas e,douglas e alsdorf,62,alsdorf,36151
"Altan, Taylan",taylan,taylan altan,63,altan,33957
"Alvarez, Valente B",valente b,valente b alvarez,64,alvarez,37717
"Amacher, Sharon L",sharon l,sharon l amacher,65,amacher,16441
"Aman, Michael George",michael george,michael george aman,66,aman,
"Amann, Joseph Michael",joseph michael,joseph michael amann,67,amann,
"Amer, Amal",amal,amal amer,68,amer,5964
"Ameri, Ali A.",ali a,ali a ameri,69,ameri,5159
"Ames, Nathan David",nathan david,nathan david ames,70,ames,38208
"Amini, Homa",homa,homa amini,71,amini,36431
"Ammirati, Mario",mario,mario ammirati,72,ammirati,
"Andereck, Claude David",claude david,claude david andereck,73,andereck,
"Andersen, Barbara Lee",barbara lee,barbara lee andersen,74,andersen,35996
"Anderson, Betty Lise",betty lise,betty lise anderson,75,anderson,36302
