Proposal ID,Name,PI
GRT00028594,"Ringel, Steven Adam",1
GRT00028595,"Wozniak, Daniel John",1
GRT00028596,"Sanders, Virginia M.",1
GRT00028597,"Oberyszyn, Tatiana Maria",1
GRT00028598,"Boyd, Robert Thomas",1
GRT00028599,"Zweier, Jay Louis",1
GRT00028600,"Altan, Taylan",1
GRT00028601,"Sif, Said",1
GRT00028602,"Shi, Tao",1
GRT00028603,"Fan, Liang-Shih",1
GRT00028604,"Secord, Wayne A",1
GRT00028605,"Ozkan, Umit S",1
GRT00028606,"Pirie, Phyllis L.",1
GRT00028607,"Croce, Carlo Maria",1
GRT00028608,"Marcucci, Guido",1
GRT00028609,"Fan, Liang-Shih",1
GRT00028610,"Ferketich, Amy Kathleen",1
GRT00028611,"Kumar, Pawan",1
GRT00028612,"Guo, Deliang",1
GRT00028613,"Ranbom, Lorin D",1
GRT00028614,"Ranbom, Lorin D",1
GRT00028615,"Hoy, Casey William",1
GRT00028616,"Ranbom, Lorin D",1
GRT00028617,"Ranbom, Lorin D",1
GRT00028618,"Ranbom, Lorin D",1
GRT00028619,"Ranbom, Lorin D",1
GRT00028620,"Ranbom, Lorin D",1
GRT00028621,"Ranbom, Lorin D",1
GRT00028622,"Jacob, Samson T",1
GRT00028623,"Ranbom, Lorin D",1
GRT00028624,"Ranbom, Lorin D",1
GRT00028625,"Ranbom, Lorin D",1
GRT00028626,"Ranbom, Lorin D",1
GRT00028627,"Crane, Dushka Aida",1
GRT00028628,"Ranbom, Lorin D",1
GRT00028629,"Calyam, Anjaneyaprasad P",1
GRT00028630,"Shoemaker, Dianne Elizabeth",1
GRT00028631,"Loux, Mark Monroe",1
GRT00028632,"Gordon, Steven Ira",1
GRT00028633,"Slesnick, Natasha",1
GRT00028634,"Worley, Charles Thomas",1
GRT00028635,"Wilson, Terry Jean",1
GRT00028636,"Alexandrov, Boian Todorov",1
GRT00028638,"Shearer, Scott Allan",1
GRT00028639,"Oaks, D'Arcy J",1
GRT00028640,"Wong, Henry Keung",1
GRT00028641,"Braumoeller, Bear F.",1
GRT00028642,"Durand, Michael Thomas",1
