Proposal ID,Investigator1,Investigator2
GRT00028594,"Ringel, Steven Adam","Arehart, Aaron Robert"
GRT00028595,"Wozniak, Daniel John","Huang, Kun"
GRT00028595,"Wozniak, Daniel John","Roy, Sashwati"
GRT00028595,"Wozniak, Daniel John","Sen, Chandan K"
GRT00028595,"Huang, Kun","Roy, Sashwati"
GRT00028595,"Huang, Kun","Sen, Chandan K"
GRT00028595,"Roy, Sashwati","Sen, Chandan K"
GRT00028596,"Sanders, Virginia M.","Lovett-Racke, Amy Elizabeth"
GRT00028601,"Sif, Said","Ayers, Leona W"
GRT00028601,"Sif, Said","Baiocchi, Robert A"
GRT00028601,"Sif, Said","Li, Chenglong"
GRT00028601,"Ayers, Leona W","Baiocchi, Robert A"
GRT00028601,"Ayers, Leona W","Li, Chenglong"
GRT00028601,"Baiocchi, Robert A","Li, Chenglong"
GRT00028607,"Croce, Carlo Maria","Volinia, Stefano"
GRT00028608,"Marcucci, Guido","Bundschuh, Ralf Andreas"
GRT00028608,"Marcucci, Guido","Chan, Kenneth Kin-Hing"
GRT00028608,"Marcucci, Guido","Geyer, Susan Michelle"
GRT00028608,"Marcucci, Guido","Walker, Alison Rich"
GRT00028608,"Marcucci, Guido","Yan, Pearlly S"
GRT00028608,"Marcucci, Guido","Zhao, Weiqiang"
GRT00028608,"Bundschuh, Ralf Andreas","Chan, Kenneth Kin-Hing"
GRT00028608,"Bundschuh, Ralf Andreas","Geyer, Susan Michelle"
GRT00028608,"Bundschuh, Ralf Andreas","Walker, Alison Rich"
GRT00028608,"Bundschuh, Ralf Andreas","Yan, Pearlly S"
GRT00028608,"Bundschuh, Ralf Andreas","Zhao, Weiqiang"
GRT00028608,"Chan, Kenneth Kin-Hing","Geyer, Susan Michelle"
GRT00028608,"Chan, Kenneth Kin-Hing","Walker, Alison Rich"
GRT00028608,"Chan, Kenneth Kin-Hing","Yan, Pearlly S"
GRT00028608,"Chan, Kenneth Kin-Hing","Zhao, Weiqiang"
GRT00028608,"Geyer, Susan Michelle","Walker, Alison Rich"
GRT00028608,"Geyer, Susan Michelle","Yan, Pearlly S"
GRT00028608,"Geyer, Susan Michelle","Zhao, Weiqiang"
GRT00028608,"Walker, Alison Rich","Yan, Pearlly S"
GRT00028608,"Walker, Alison Rich","Zhao, Weiqiang"
GRT00028608,"Yan, Pearlly S","Zhao, Weiqiang"
GRT00028610,"Ferketich, Amy Kathleen","Klein, Elizabeth Gardner"
GRT00028611,"Kumar, Pawan","Chalmers, Jeffrey John"
GRT00028611,"Kumar, Pawan","Teknos, Theodoros N"
GRT00028611,"Kumar, Pawan","Wakely, Paul E."
GRT00028611,"Chalmers, Jeffrey John","Teknos, Theodoros N"
GRT00028611,"Chalmers, Jeffrey John","Wakely, Paul E."
GRT00028611,"Teknos, Theodoros N","Wakely, Paul E."
GRT00028612,"Guo, Deliang","Mo, Xiaokui"
GRT00028622,"Jacob, Samson T","Coppola, Vincenzo"
GRT00028622,"Jacob, Samson T","Ghoshal, Kalpana"
GRT00028622,"Jacob, Samson T","Motiwala, Tasneem"
