Award_AuthID,Prop_AuthID,Sal_ID
3,7,
6,10,
7,11,
13,24,
17,33,
25,43,
29,50,
30,52,
31,53,
37,63,
38,66,
41,69,
47,80,
48,82,
56,94,
61,100,
66,112,
67,114,
73,122,
85,139,
87,142,
92,151,
94,156,
96,158,
99,164,
104,169,
106,173,
108,176,
113,182,
116,188,
117,189,
123,201,
125,206,
127,209,
129,212,
131,214,
132,215,
134,221,
140,227,
147,235,
148,236,
153,243,
154,245,
155,246,
165,264,
168,271,
171,274,
174,277,
177,283,
179,285,
180,286,
181,287,
182,289,
183,292,
190,303,
198,314,
199,316,
200,318,
201,319,
202,320,
209,332,
214,339,
215,340,
218,346,
223,350,
224,351,
225,352,
227,354,
228,355,
229,356,
234,361,
239,372,
244,380,
248,385,
255,391,
256,394,
261,401,
263,403,
271,415,
272,416,
273,418,
274,419,
276,421,
282,429,
284,434,
293,446,
298,453,
299,454,
300,455,
307,464,
310,469,
311,470,
312,471,
314,474,
315,475,
316,476,
317,481,
318,482,
321,486,
330,494,
334,497,
340,506,
344,512,
347,515,
348,516,
349,520,
350,521,
351,522,
352,523,
353,527,
363,543,
369,552,
377,559,
379,561,
389,574,
392,577,
393,579,
395,581,
402,590,
410,599,
413,604,
419,610,
424,618,
426,623,
428,626,
435,634,
437,637,
442,643,
443,645,
445,648,
453,657,
461,670,
466,677,
470,683,
477,694,
478,696,
484,706,
488,714,
496,725,
501,737,
504,740,
506,743,
515,754,
516,757,
524,772,
527,775,
538,788,
543,799,
545,802,
554,817,
555,818,
557,821,
569,843,
570,846,
571,849,
574,853,
578,858,
587,875,
599,892,
600,893,
601,894,
604,897,
607,901,
613,907,
614,908,
616,910,
622,920,
628,925,
629,926,
630,928,
631,930,
640,940,
641,941,
649,953,
654,958,
655,959,
659,968,
660,969,
678,987,
682,994,
687,1005,
689,1007,
695,1013,
697,1016,
702,1021,
706,1027,
709,1033,
713,1044,
714,1045,
719,5070,
730,1062,
733,1066,
735,1069,
738,1072,
740,1074,
741,1075,
743,1077,
744,1078,
751,1090,
753,1091,
754,1093,
756,1097,
760,1103,
766,1110,
767,1111,
769,1115,
770,1116,
773,1121,
775,1127,
776,1130,
784,1148,
785,1149,
789,1152,
790,1153,
794,1157,
796,1159,
799,1166,
801,1168,
804,1173,
806,1175,
807,1178,
808,1179,
818,1193,
822,1201,
825,1204,
838,1228,
842,1235,
846,1240,
850,1245,
851,1246,
852,1248,
853,1249,
858,1258,
862,1266,
864,1269,
867,1273,
868,1274,
869,1276,
872,1054,
874,1283,
876,1286,
877,1287,
881,1292,
882,1294,
886,1328,
888,1301,
891,1304,
893,1308,
896,1312,
901,1318,
904,1325,
909,1336,
913,1343,
920,1350,
928,1360,
929,1361,
930,1362,
934,1366,
939,1371,
940,1372,
942,1374,
943,1375,
944,1376,
946,1378,
950,1383,
951,1384,
953,1385,
959,1390,
964,1399,
966,1401,
973,1410,
978,1417,
981,1421,
982,1422,
985,1426,
992,1435,
996,1441,
998,1444,
1002,1452,
1003,1453,
1006,1456,
1010,1460,
1011,1461,
1016,1467,
1018,1470,
1027,1485,
1032,1493,
1039,1502,
1042,1507,
1052,1518,
1058,1525,
1072,1546,
1077,1552,
1089,1567,
1102,1587,
1111,1599,
1113,1601,
1114,1602,
1115,1603,
1116,1604,
1128,1617,
1131,1620,
1132,1621,
1134,1625,
1136,1628,
1139,1630,
1140,1630,
1144,1634,
1147,1641,
1149,1642,
1154,1647,
1157,1652,
1158,1653,
1166,1669,
1171,1675,
1172,1678,
1173,1679,
1177,1682,
1178,1684,
