Name,Title/Tenure,Category,Home College,Home Department,Last Name,First Name,PI Count,Co-I Count,Flagged: Climate + Energy,Byrd,SI - Climate,Affiliation,Column1,,,
"Bennett, Alison",Assistant Professor,Biophysical,Arts and Sciences,EEOB,Bennett,Alison,0,1,,,Yes,,,,,
"Berger-Wolf, Tanya",Academic Director,Biophysical,Office of Academic Affairs,Translational Data Analytics I,Berger-Wolf,Tanya,1,0,,,Yes,TDAI,,Biophysical,,
"Bohrer, Gil",Professor,Biophysical,College of Engineering,"Civil, Envir & Geod Eng",Bohrer,Gil,13,4,,,Yes,,,Adaptation,,
"Cervenec, Jason",Program Director,Biophysical,Office of Academic Affairs,Byrd Polar & Climate Rsch Cntr,Cervenec,Jason,7,1,,Yes,,,,Mitigation,,
"Craigmile, Peter",Professor,Biophysical,Arts and Sciences,Statistics,Craigmile,Peter,1,2,Maybe,,Yes,,,NA,,
"Curtis, Peter",Emeritus,Biophysical,Arts and Sciences,EEOB,Curtis,Peter,2,1,,Yes,,,,?,,
"Davies, Matthew",Assistant Professor,Adaptation,"Coll of Food,Agr,Envir Science",Sch of Environ & Natural Res,Davies,Matt,2,3,,,Yes,,,,,
"Demyan, Michael",Assistant Professor,Adaptation,"Coll of Food,Agr,Envir Science",Sch of Environ & Natural Res,Demyan,Scott,1,2,Maybe,,Yes,,,,,
"Gremillion, Kristen",Chair,Biophysical,Arts and Sciences,Anthropology,Gremillion,Kris,2,0,,,Yes,,,,,
"Grottoli, Andrea",Professor,Biophysical,Arts and Sciences,School of Earth Sciences,Grottoli,Andréa,12,0,,,Yes,,,,,
"Bielicki, Jeffrey",Associate Professor,,College of Engineering,"Civil, Envir & Geod Eng",Bielicki,Jeff,3,6,Yes,,Yes,,,,,
"Hood, Darryl",Associate Professor,Adaptation,College of Public Health,College of Public Health,Hood,Darryl,1,1,,,,,,,,
"Hood, James",Assistant Professor,Biophysical,Arts and Sciences,EEOB,Hood,Jim,2,3,,,,,,,,
"Hyder, Ayaz",Assistant Professor,Adaptation,College of Public Health,College of Public Health,Hyder,Ayaz,4,7,,,,TDAI,,,,
"Kleinhenz, Matthew",Professor,Adaptation,"Coll of Food,Agr,Envir Science",OARDC Hort & Crop Sciences,Kleinhenz,Matthew,9,8,,,Yes,,,,,
"Lal, Rattan",Professor,Adaptation,"Coll of Food,Agr,Envir Science",Sch of Environ & Natural Res,Lal,Rattan,7,2,Maybe,,Yes,CMSC,,,,
"Larsen, Clark",Distinguished University Prof,Adaptation,Arts and Sciences,Anthropology,Larsen,Clark,3,0,,,Yes,,,,,
"Lee, Jiyoung",Professor,Adaptation,College of Public Health,College of Public Health,Lee,Jiyoung,4,10,,,Yes,,,,,
"Lin, Jialin",Associate Professor,Biophysical,Arts and Sciences,Geography,Lin,Jianlin,0,0,,,,,,,,
"McCorriston, Joy",Professor,Adaptation,Arts and Sciences,Anthropology,McCorriston,Joy,3,0,,,Yes,,,,,
"Nagib, David",Associate Professor,Adaptation,Arts and Sciences,Chemistry and Biochemistry,Nagib,David,5,2,,,Yes,,,,,
"Quiring, Steven",Professor,Adaptation,Arts and Sciences,Geography,Quiring,Steven,13,1,Maybe,Yes,Yes,,,,,
"Rich, Virginia",Associate Professor,Biophysical,Arts and Sciences,Microbiology,Rich,Virginia,3,0,,Yes,,,,,,
"Babcock, Loren",Professor,,Arts and Sciences,School of Earth Sciences,Babcock,Loren,0,0,Yes,,Yes,,,,,
"Belloni, Clarissa",Assistant Professor-Clinical,,College of Engineering,Mechanical & Aerospace Engr,Belloni,Clarissa,0,0,Yes,,Yes,,,,,
"Breyfogle, Nicholas",Associate Professor,,Arts and Sciences,History,Breyfogle,Nick,0,0,Yes,,Yes,,,,,
"Contractor, Ardeshir",Academic Director,,College of Engineering,Mechanical & Aerospace Engr,Contractor,Adreshir,0,0,Yes,,Yes,,,,,
"Guldmann, Jean-Michel",Emeritus,,College of Engineering,Knowlton Schl of Architecture,Guldmann,Jean-Michel,0,0,Yes,,Yes,,,,,
"McPherson, Tristam",Arts and Sciences,,Philosophy,Professor,McPherson,Tristam,0,0,Yes,,Yes,,,,,
"Mercil, Michael",Professor,,Arts and Sciences,Art,Mercil,Michael,0,0,Yes,,Yes,,,,,
"Otter, Christopher",Professor,,Arts and Sciences,History,Otter,Chris,0,0,Yes,,Yes,,,,,
"Wang, Xiaoxue",Assistant Professor,,College of Engineering,Chemical & Biomolecular Eng,Wang,Xiaoxue,0,0,Yes,,Yes,,,,,
"Zhao, Ruike",Assistant Professor,,College of Engineering,Mechanical & Aerospace Engr,Zhao,Renee,0,0,Yes,,Yes,,,,,
"Burton, Kimberly",Associate Professor-Clinical,,College of Engineering,Knowlton Schl of Architecture,Burton,Kimberly,1,0,Yes,,Yes,,,,,
"Clark, Jordan",Assistant Professor,,College of Engineering,"Civil, Envir & Geod Eng",Clark,Jordan,1,0,Yes,,Yes,,,,,
"Doan-Ngyuen, Vicky",Assistant Professor,,College of Engineering,Materials Sci Engineering,Doan-Ngyuen,Vicky,1,0,Yes,,Yes,,,,,
"Nisbet, Erik",Left Ohio State,,Left Ohio State,Left Ohio State,Nisbet,Erik,1,0,Yes,,Yes,,,,,
"Yi, Hongtao",Associate Professor,,John Glenn College Public Affa,John Glenn Coll Public Affairs,Yi,Hongtao,1,0,Yes,,Yes,,,,,
"Bayraksan, Guzin",Associate Professor,,College of Engineering,Integrated Systems Engineering,Bayraksan,Guzin,2,0,Yes,,Yes,,,,,
"Mehmood, Sayeed",Associate Professor,,"Coll of Food,Agr,Envir Science",Sch of Environ & Natural Res,Mehmood,Sayeed,3,0,Yes,,Yes,,,,,
"Stockar, Stephanie",Assistant Professor,,College of Engineering,Mechanical & Aerospace Engr,Stockar,Stephanie,3,0,Yes,,Yes,,,,,
"Zhang, Shiyu",Assistant Professor,,Arts and Sciences,Chemistry and Biochemistry,Zhang,Shiyu,4,0,Yes,,Yes,,,,,
"Shafaat, Hannah",Associate Professor,,Arts and Sciences,Chemistry and Biochemistry,Shafaat,Hannah,5,0,Yes,,Yes,,,,,
"Shafieezadeh, Abdollah",Associate Professor,,College of Engineering,"Civil, Envir & Geod Eng",Shafieezadeh,Abdollah,10,0,Yes,,Yes,,,,,
"Sintov, Nicole",Assistant Professor,Adaptation,"Coll of Food,Agr,Envir Science",Sch of Environ & Natural Res,Sintov,Nicole,3,2,Maybe,,Yes,,,,,
"Sullivan, Matthew",Professor,Biophysical,Arts and Sciences,Microbiology,Sullivan,Matthew,13,4,,Yes,Yes,,,,,
"Sullivan, Mazeika",Associate Professor,Biophysical,"Coll of Food,Agr,Envir Science",Sch of Environ & Natural Res,Sullivan,Mazeika,9,9,,,,,,,,
"Weir, Mark",Assistant Professor,Adaptation,College of Public Health,College of Public Health,Weir,Mark,3,2,,,Yes,SI,,,,
