Name,Last Name,First Name,Byrd,SI - Climate,Flagged - Climate + Energy,Operating Unit,Title,Flagged - Other,Award ID,Award Title,Awd PI,Co-I,Department Prop,Awd Dept,Award Alloc,College,Sponsor Name Prop,Fed/Non,Awd Spnsr,Awd Spnsr Level,Awd Spnsr Type,Prime Spnsr,Prime Spnsr Level,Prime Spnsr Type,Total Amt,Start Date,End Date,Discovery Theme,Award FY,Award Type,Reference,Ref Awd Num,CFDA
"Adams, Ingrid",Ingrid,Adams,,,No,Health and Rehabilitation Sciences,Associate Professor,flag,GRT00051639,Building resiliency through critical thinking among IAMBK youth program,"Adams,Ingrid K",,Family and Consumer Sciences,HRS - Health & Rehab Sciences,20.00,College of Medicine,City of Columbus,Non,City of Columbus,OTHR,GOVT,,,,"14,000.00",07/01/2018,05/31/2019,Disc Theme- Health Wellness,2019,GR,Contract Dated 7/31/18,Contract Dated 7/31/18,
"Adetona, Olorunfemi",Olorunfemi,Adetona,,,No,"Adetona, Olorunfemi","Adetona, Olorunfemi",,GRT00041228,Central Appalachian Regional Education Center: Exploring an epigenetic link for occupational woodsmoke exposure induced inflammatory response among wildland firefighters,"Adetona,Olorunfemi T",,COPH -Environmental Health Sci,COPH -Environmental Health Sci,100.00,College of Public Health,Univ of Kentucky,Non,Univ of Kentucky,OTHR,COLL,Nat Inst Occupational Safety & Health,FED,CDC,"11,999.00",07/01/2015,06/30/2016,Disc Theme- Energy Environ; Disc Theme- Health Wellness,2016,GR,3200000109-16-036,3200000109-16-036,93.262
"Adetona, Olorunfemi",Olorunfemi,Adetona,,,No,Public Health,,,GRT00041915,Occupational exposure of structural firefighters and cancer risk,"Adetona,Olorunfemi T","Hood, Darryl Brice; Olivo-Marston, Susan Elizabeth",COPH -Division of Epidemiology,COPH -Environmental Health Sci,40.00,College of Public Health,OH Bureau of Worker's Compensation,Non,OH Bureau of Worker's Compensation,OHIO,OHIO,,,,"267,882.00",06/01/2016,05/31/2018,Disc Theme- Energy Environ; Disc Theme- Health Wellness,2016,GR,Agreement dated 6/20/16,Agreement dated 6/20/16,
"Adetona, Olorunfemi",Olorunfemi,Adetona,,,No,Public Health,,,GRT00055511,Occupational safety and health education and research centers (T42),"Adetona,Olorunfemi T","Wu, Chieh-Ming",COPH -Environmental Health Sci,COPH -Environmental Health Sci,100.00,College of Public Health,Univ of Michigan,Non,Univ of Michigan,OTHR,COLL,Centers for Disease Control & Prevention,FED,CDC,"19,460.00",07/01/2019,06/30/2020,Disc Theme- Health Wellness,2020,GR,SUBK00011840,SUBK00011840,93.262
"Agarwal, Anant",Agarwal,Anant,,Yes,Flag,,,,GRT00051424,"Development of a semester long video course on ""The theory, design and manufacturing of SiC power devices""","Agarwal,Anant K",,Electrical & Computer Engr.,Electrical & Computer Engr.,100.00,College of Engineering,Office of Naval Res,Fed,Office of Naval Res,FED,DOD,,,,"106,370.00",09/01/2018,08/31/2020,Disc Theme- Energy Environ,2018,GR,N00014-18-1-2512,N00014-18-1-2512,12.300
"Agarwal, Anant",Agarwal,Anant,,Yes,Flag,,,,GRT00052422,Extending the operating capabilities of high voltage SiC devices,"Agarwal,Anant K","Wang, Jin",Electrical & Computer Engr.,Electrical & Computer Engr.,100.00,College of Engineering,GeneSiC Semiconductor Inc.,Non,GeneSiC Semiconductor Inc.,IND,INOT,Army Res Office,FED,DOD,"216,654.00",10/26/2018,09/19/2020,Disc Theme- Energy Environ,2019,CP,Subcontract signed 10/31/18,Subcontract signed 10/31/18,12.431
"Agarwal, Anant",Agarwal,Anant,,Yes,Flag,,,,GRT00052696,Medium-voltage power electronics for grid-tied energy storage applications,"Agarwal,Anant K","Wang, Jin",Electrical & Computer Engr.,Electrical & Computer Engr.,100.00,College of Engineering,Sandia Corp,Non,Sandia Corp,IND,INOT,US Department of Energy,FED,DOE,"195,673.00",07/26/2018,01/30/2021,Disc Theme- Energy Environ,2019,CON,PO1945200,PO1945200,
"Agarwal, Anant",Agarwal,Anant,,Yes,Flag,,,,GRT00052818,MUSIC - Manufacturing of ultra high voltage silicon carbide,"Agarwal,Anant K","Wang, Jin",Electrical & Computer Engr.,Electrical & Computer Engr.,100.00,College of Engineering,State Univ of New York Polytechnic Inst,Non,State Univ of New York Polytechnic Inst,OTHR,COLL,Army Res Office,FED,DOD,"144,000.00",06/20/2018,06/19/2021,Disc Theme- Energy Environ,2019,CP,Subaward No. 07-17 - Year 1,Subaward No. 07-17,12.431
"Agarwal, Anant",Agarwal,Anant,,Yes,Flag,,,,GRT00053252,Automotive-qualified SiC DMOSFETs with on-chip integrated MPS rectifiers,"Agarwal,Anant K",,Electrical & Computer Engr.,Electrical & Computer Engr.,100.00,College of Engineering,GeneSiC Semiconductor Inc.,Non,GeneSiC Semiconductor Inc.,IND,INOT,US Department of Energy,FED,DOE,"125,000.00",10/01/2018,08/26/2020,Disc Theme- Energy Environ,2019,GR,Subcontract signed 10/10/18,Subcontract signed 10/10/18,81.049
"Agarwal, Anant",Agarwal,Anant,,Yes,Flag,,,,GRT00053269,"SMART SiC Power ICs (scalable, manufacturable, and robust technology) for SiC power integrated circuits","Agarwal,Anant K","Fayed, Ayman Adel",Electrical & Computer Engr.,Electrical & Computer Engr.,100.00,College of Engineering,State Univ of New York Polytechnic Inst,Non,State Univ of New York Polytechnic Inst,OTHR,COLL,US Department of Energy,FED,DOE,"180,355.00",09/01/2019,08/31/2022,Disc Theme- Energy Environ,2020,CP,Subaward 96-20: BP1,Subaward 96-20,81.135
